Date,Time,Employee
15/09/2017,15:57,0000792039
15/09/2017,23:46,0000792039
18/09/2017,15:56,0000792039
18/09/2017,23:47,0000792039
19/09/2017,16:07,0000792039
19/09/2017,23:36,0000792039
20/09/2017,15:54,0000792039
20/09/2017,23:51,0000792039
21/09/2017,15:56,0000792039
21/09/2017,23:53,0000792039
22/09/2017,15:59,0000792039
22/09/2017,23:50,0000792039
23/09/2017,07:37,0000792039
23/09/2017,13:57,0000792039
25/09/2017,15:55,0000792039
25/09/2017,23:29,0000792039
26/09/2017,15:57,0000792039
26/09/2017,23:40,0000792039
01/09/2017,07:08,0000792042
01/09/2017,11:37,0000792042
01/09/2017,13:09,0000792042
01/09/2017,15:33,0000792042
01/09/2017,15:49,0000792042
01/09/2017,17:20,0000792042
04/09/2017,07:06,0000792042
04/09/2017,11:28,0000792042
04/09/2017,13:05,0000792042
04/09/2017,16:00,0000792042
04/09/2017,16:17,0000792042
04/09/2017,19:19,0000792042
05/09/2017,07:05,0000792042
05/09/2017,11:05,0000792042
05/09/2017,13:06,0000792042
05/09/2017,15:35,0000792042
05/09/2017,15:50,0000792042
05/09/2017,17:23,0000792042
06/09/2017,07:06,0000792042
06/09/2017,11:37,0000792042
06/09/2017,13:05,0000792042
06/09/2017,15:39,0000792042
06/09/2017,15:59,0000792042
06/09/2017,17:24,0000792042
08/09/2017,07:06,0000792042
08/09/2017,11:00,0000792042
08/09/2017,12:32,0000792042
08/09/2017,15:43,0000792042
08/09/2017,17:23,0000792042
09/09/2017,07:07,0000792042
09/09/2017,12:11,0000792042
11/09/2017,07:06,0000792042
11/09/2017,11:37,0000792042
11/09/2017,13:07,0000792042
11/09/2017,15:33,0000792042
11/09/2017,15:48,0000792042
11/09/2017,17:22,0000792042
12/09/2017,07:07,0000792042
12/09/2017,11:38,0000792042
12/09/2017,13:07,0000792042
12/09/2017,15:34,0000792042
12/09/2017,15:46,0000792042
12/09/2017,17:23,0000792042
13/09/2017,07:06,0000792042
13/09/2017,11:40,0000792042
13/09/2017,13:05,0000792042
13/09/2017,15:35,0000792042
13/09/2017,15:46,0000792042
13/09/2017,17:23,0000792042
14/09/2017,07:07,0000792042
14/09/2017,11:37,0000792042
14/09/2017,13:07,0000792042
14/09/2017,15:34,0000792042
14/09/2017,15:51,0000792042
14/09/2017,17:22,0000792042
15/09/2017,07:08,0000792042
15/09/2017,11:34,0000792042
15/09/2017,13:09,0000792042
15/09/2017,15:33,0000792042
15/09/2017,15:48,0000792042
15/09/2017,17:22,0000792042
16/09/2017,07:09,0000792042
16/09/2017,12:19,0000792042
18/09/2017,07:06,0000792042
18/09/2017,11:30,0000792042
18/09/2017,13:06,0000792042
18/09/2017,15:32,0000792042
18/09/2017,15:46,0000792042
18/09/2017,17:24,0000792042
19/09/2017,07:03,0000792042
19/09/2017,11:31,0000792042
19/09/2017,13:08,0000792042
19/09/2017,15:35,0000792042
19/09/2017,15:49,0000792042
19/09/2017,17:23,0000792042
20/09/2017,07:07,0000792042
20/09/2017,11:33,0000792042
20/09/2017,12:57,0000792042
20/09/2017,15:33,0000792042
